"","Functions","n"
"2584","check_bounds",2
"2585","check_existence",2
"2586","check_quality",2
"2587","check_validity",2
"2588","checkbox",2
"2589","checkCRSArgs",2
"2590","checkFile",2
"2591","checkinDataToDF",2
"2592","checkNeedsLibraryMigration",2
"2593","checkParameters",2
"2594","checkPkgClasses",2
"2595","checksum",2
"2596","checkValidPhylo",2
"2597","chessboardjsOutput",2
"2598","chol2inv",2
"2599","choosePalette",2
"2600","chooseTwoSets",2
"2601","chop",2
"2602","chordDiagram",2
"2603","choropleth",2
"2604","cid2sim",2
"2605","cidSimMatrix",2
"2606","cim",2
"2607","circ",2
"2608","circle_fun",2
"2609","cistrans",2
"2610","citation",2
"2611","classifier",2
"2612","classify_emotion",2
"2613","classify_polarity",2
"2614","clean_cat",2
"2615","clean_data",2
"2616","clean_df",2
"2617","cleanAgeRates",2
"2618","CleanCensus",2
"2619","CleanCensus80",2
"2620","cleanDeaths",2
"2621","cleanDF",2
"2622","CleanHom1994",2
"2623","cleanModularity",2
"2624","cleanMun100mi",2
"2625","clear",2
"2626","clearControls",2
"2627","clearElement",2
"2628","clearInputAndSet",2
"2629","clearMarkers",2
"2630","clearShapes",2
"2631","clickElement",2
"2632","clnrule",2
"2633","closed",2
"2634","closeDataset",2
"2635","closeness",2
"2636","ClosestMatch2",2
"2637","ClosestMatchCoord",2
"2638","cluster_label_prop",2
"2639","cmdscale",2
"2640","cmurl",2
"2641","cnetplot_internal",2
"2642","coalesce",2
"2643","COBRAapp",2
"2644","code",2
"2645","cofactors",2
"2646","cohort_built",2
"2647","cohort_data",2
"2648","cohort_dims",2
"2649","cohort_metrics",2
"2650","col_character",2
"2651","col_fun",2
"2652","col2hsv",2
"2653","collect_yaml",2
"2654","colLookup",2
"2655","color_stops",2
"2656","colorFunction",2
"2657","colorize_vector",2
"2658","colorpal",2
"2659","colorRamp2",2
"2660","colourInput",2
"2661","colSel",2
"2662","columns",2
"2663","combine",2
"2664","comma",2
"2665","commandInput",2
"2666","commentsDataToDF",2
"2667","commentsListToDF",2
"2668","communities",2
"2669","community",2
"2670","complete",2
"2671","completeDates",2
"2672","components",2
"2673","Components",2
"2674","composedMat",2
"2675","compute_rmsle",2
"2676","computeCat",2
"2677","computedPCA2GO",2
"2678","computeIC",2
"2679","condinformation",2
"2680","confplot_reduced",2
"2681","confplots",2
"2682","construct_null",2
"2683","containsLoops",2
"2684","contourLines",2
"2685","ContourLines2SLDF",2
"2686","converged",2
"2687","convert_temperature",2
"2688","convert_time",2
"2689","convert2bcsft",2
"2690","convertCSV",2
"2691","convertFactors",2
"2692","convertIdentifiers",2
"2693","convertX",2
"2694","convertY",2
"2695","cook",2
"2696","coord_quickmap",2
"2697","cophenetic",2
"2698","copyDataset",2
"2699","copyFile",2
"2700","corbetw2mat",2
"2701","corPvalueStudent",2
"2702","corr",2
"2703","correlatedValue",2
"2704","countBioc",2
"2705","countMonthsPosts",2
"2706","countMonthsTweets",2
"2707","countWeeksPosts",2
"2708","cov",2
"2709","coverageSingleRange",2
"2710","cpcb_data",2
"2711","cph",2
"2712","cpmFilter",2
"2713","cputest",2
"2714","cr_compact",2
"2715","cran_downloads0",2
"2716","create_draft",2
"2717","create_git_log_file",2
"2718","create_matrix",2
"2719","create_parent",2
"2720","create2GDAL",2
"2721","createBr",2
"2722","createCall",2
"2723","createCondBr",2
"2724","createDDS",2
"2725","createDoubleConstant",2
"2726","createFCmp",2
"2727","createGEP",2
"2728","createGlobalVariable",2
"2729","createGrid",2
"2730","createICmp",2
"2731","createIntegerConstant",2
"2732","createLineChart",2
"2733","createLink",2
"2734","createLoad",2
"2735","createLocalVariable",2
"2736","createRetVoid",2
"2737","createRLT",2
"2738","createSelect",2
"2739","createSExt",2
"2740","createSheet",2
"2741","createStore",2
"2742","createUniqueId",2
"2743","createWorkbook",2
"2744","credentials",2
"2745","cross_mark",2
"2746","CRSargs",2
"2747","cscale",2
"2748","cshp",2
"2749","csv_files",2
"2750","ctree",2
"2751","ctree_control",2
"2752","cudist",2
"2753","cumultplotly",2
"2754","curData_brush",2
"2755","curData_brush_multifac",2
"2756","curData_click",2
"2757","curData_zoomClick",2
"2758","curl",2
"2759","curlSetOpt",2
"2760","current_countmat",2
"2761","current_x",2
"2762","cutfold",2
"2763","cutpoints",2
"2764","cutreeDynamic",2
"2765","cvplot",2
"2766","cvtable",2
"2767","cyclestreet_route",2
"2768","d3movie",2
"2769","daily",2
"2770","dat",2
"2771","data_file",2
"2772","data_imputation",2
"2773","dataGen",2
"2774","dataInBounds",2
"2775","dataInput",2
"2776","dataLoad",2
"2777","dataset_plotter_UI",2
"2778","dataTableProxy",2
"2779","dataViewport",2
"2780","date_type_function",2
"2781","date2numeric",2
"2782","dateInput",2
"2783","dates",2
"2784","day_from_date",2
"2785","day_func",2
"2786","day_in_text",2
"2787","dayOfDeath",2
"2788","dbClearResult",2
"2789","dbColumnInfo",2
"2790","dbExistsTable",2
"2791","dbFetch",2
"2792","dblclickOpts",2
"2793","dbListFields",2
"2794","dbRemoveTable",2
"2795","dcauchy",2
"2796","dcf",2
"2797","dcurve",2
"2798","debounce",2
"2799","debounced_data",2
"2800","debug",2
"2801","decideTests",2
"2802","decideTestsDGE",2
"2803","def",2
"2804","defmacro",2
"2805","deframe",2
"2806","degree_distribution",2
"2807","deja_vu",2
"2808","delay",2
"2809","deldir",2
"2810","DELETE",2
"2811","delete_edges",2
"2812","delim2",2
"2813","Delt",2
"2814","demo",2
"2815","densityplotly",2
"2816","depth",2
"2817","deriv3",2
"2818","DESeqDataSetFromTximport",2
"2819","desktop",2
"2820","destroy",2
"2821","detectable",2
"2822","deviance",2
"2823","device",2
"2824","df_internal",2
"2825","dfs",2
"2826","di2multi",2
"2827","dict",2
"2828","diff_pages",2
"2829","digit",2
"2830","dir_create",2
"2831","dir_exists",2
"2832","dir_info",2
"2833","directedqtl",2
"2834","directory",2
"2835","DirichReg",2
"2836","discretize",2
"2837","disp",2
"2838","dispMeanRel",2
"2839","disqual",2
"2840","distances",2
"2841","distee",2
"2842","dl_data",2
"2843","dlCount",2
"2844","dmap",2
"2845","DNAString",2
"2846","dnds_mlc",2
"2847","Dnorm",2
"2848","do_bq",2
"2849","do_recovery",2
"2850","doBookmark",2
"2851","dockflow",2
"2852","doctorPlot",2
"2853","document",2
"2854","dodata",2
"2855","doggie_praise",2
"2856","doit",2
"2857","downloadCount",2
"2858","downloads",2
"2859","DR_data",2
"2860","drake_config",2
"2861","draw",2
"2862","draw_gmap",2
"2863","drawit",2
"2864","drawModularity",2
"2865","drawParty",2
"2866","drawSingleModularity",2
"2867","drop_auth",2
"2868","drop_dir",2
"2869","drop_na",2
"2870","drop_upload",2
"2871","drop7",2
"2872","Drop7",2
"2873","dropAnno",2
"2874","dropdownMenu",2
"2875","droponemarker",2
"2876","drv",2
"2877","dt_fill_na",2
"2878","dtriang",2
"2879","durbinWatsonTest",2
"2880","dyCSS",2
"2881","dyEvent",2
"2882","dyLegend",2
"2883","dynam",2
"2884","dynamicSelectOutput",2
"2885","dyRoller",2
"2886","dyShading",2
"2887","easyMCA",2
"2888","ecount",2
"2889","edges",2
"2890","ee_observations",2
"2891","eh",2
"2892","eigenR2",2
"2893","elementLengths",2
"2894","elementMetadata",2
"2895","elementSendKeys",2
"2896","em",2
"2897","embed_fonts",2
"2898","emojifont",2
"2899","emojifonts",2
"2900","Encoding",2
"2901","ends",2
"2902","enquantile",2
"2903","enquo",2
"2904","enrichGO",2
"2905","enrichPeakOverlap",2
"2906","ensemble",2
"2907","entibble",2
"2908","envelope",2
"2909","eprior",2
"2910","err",2
"2911","errorFunc",2
"2912","estimateCommonDisp",2
"2913","estimateDisp",2
"2914","estimateSizeFactorsForMatrix",2
"2915","estimateTagwiseDisp",2
"2916","ets",2
"2917","evalDSC",2
"2918","evcent",2
"2919","eventData",2
"2920","eventDataToDF",2
"2921","eventlog",2
"2922","ExactMatch",2
"2923","exactTest",2
"2924","excitedRW2d",2
"2925","excludeGOterm",2
"2926","executeScript",2
"2927","existsFunction",2
"2928","exp_gen_funcs",2
"2929","exp_ui",2
"2930","expand",2
"2931","expand_data",2
"2932","expect_identical",2
"2933","expit",2
"2934","explained",2
"2935","export_hc",2
"2936","exportNetworkToCytoscape",2
"2937","extends",2
"2938","extract_ranges",2
"2939","extractDigits",2
"2940","extractMunCode",2
"2941","extractStateCode",2
"2942","extraTrees",2
"2943","f_for_loop",2
"2944","f_lapply_row",2
"2945","f_pmap",2
"2946","f_split_lapply",2
"2947","f_subset",2
"2948","f_transpose",2
"2949","f2cnt",2
"2950","f3cnt",2
"2951","facet",2
"2952","facet_plot",2
"2953","factorize",2
"2954","fasta",2
"2955","fbOAuth",2
"2956","fct_reorder2",2
"2957","fct_shift",2
"2958","FDR",2
"2959","featureNames",2
"2960","fen",2
"2961","ffib",2
"2962","fgsea",2
"2963","fib",2
"2964","fibc",2
"2965","field",2
"2966","fields_wrap",2
"2967","file_attachment",2
"2968","file_dir",2
"2969","file_exists",2
"2970","file_out",2
"2971","fileUpload",2
"2972","filmstrip",2
"2973","filter_activity_frequency",2
"2974","filter_case",2
"2975","filter_throughput_time",2
"2976","filteredData",2
"2977","filterTasks",2
"2978","finaldraw",2
"2979","find_active_projects",2
"2980","find_maintained_projects",2
"2981","find_mirror",2
"2982","find_pages",2
"2983","find_projects",2
"2984","find_root",2
"2985","find_unbalanced",2
"2986","find_ymax",2
"2987","findAnomalies",2
"2988","findCreditCards",2
"2989","findDupMarkers",2
"2990","findElements",2
"2991","findElementsFromElement",2
"2992","findFreqTerms",2
"2993","findGlobals",2
"2994","findNextPosition",2
"2995","fiveUTRsByTranscript",2
"2996","fix",2
"2997","fix_img_tags",2
"2998","fix_name",2
"2999","fixmath",2
"3000","flevels",2
"3001","flush",2
"3002","follow",2
"3003","font_import",2
"3004","foo",2
"3005","footer",2
"3006","for",2
"3007","forkbomb",2
"3008","format_axis",2
"3009","format_sci",2
"3010","formatCuadranteForJSON",2
"3011","formatMonthly",2
"3012","formatSectorForJSON",2
"3013","formatWeekly",2
"3014","formData",2
"3015","formLinkageGroups",2
"3016","ForwardSub",2
"3017","frame_",2
"3018","from",2
"3019","fry",2
"3020","fscad",2
"3021","fscale",2
"3022","fsrnbr",2
"3023","ftable",2
"3024","fte_theme",2
"3025","fumeric",2
"3026","Function",2
"3027","G",2
"3028","g_legend",2
"3029","ga_auth",2
"3030","ga_data",2
"3031","gamma",2
"3032","gamma_gen_funcs",2
"3033","gamma_ui",2
"3034","gapModuleUI",2
"3035","gar_auth_service",2
"3036","gArea",2
"3037","gcIntermediate",2
"3038","gClip",2
"3039","gconnect",2
"3040","gConvexHull",2
"3041","gcs_get_object",2
"3042","gcs_upload",2
"3043","gd_SetGeoTransform",2
"3044","gd_SetNoDataValue",2
"3045","gd_SetProject",2
"3046","GDAL_iconv",2
"3047","gdalDrivers",2
"3048","GDALinfo",2
"3049","gen_cal",2
"3050","gen_palindromes",2
"3051","gene",2
"3052","gene2DO",2
"3053","gene2GO",2
"3054","geneID",2
"3055","geneIds",2
"3056","geneList",2
"3057","geneprofiler",2
"3058","generateId",2
"3059","GenerateLearningsets",2
"3060","generatePoints",2
"3061","generateReadme",2
"3062","generateReadmeForCMEG",2
"3063","GeneSelection",2
"3064","geneSet_filter",2
"3065","GeneSetCollection",2
"3066","geneSetTest",2
"3067","genesInTerm",2
"3068","genespca",2
"3069","GenTable",2
"3070","geo_code",2
"3071","geom",2
"3072","geom_balance",2
"3073","geom_bin2d",2
"3074","geom_blank",2
"3075","geom_cladelabel",2
"3076","geom_count",2
"3077","geom_curve",2
"3078","geom_dotplot",2
"3079","geom_edge_link",2
"3080","geom_label",2
"3081","geom_node_point",2
"3082","geom_node_text",2
"3083","geom_point2",2
"3084","geom_rangeframe",2
"3085","geom_raster",2
"3086","geom_segment2",2
"3087","geom_tipsegment",2
"3088","geoparser_q",2
"3089","geoTrans",2
"3090","get_all_UCSC_tables",2
"3091","get_annotation_orgdb",2
"3092","get_balance_position_",2
"3093","get_bucket_df",2
"3094","get_clade_position_",2
"3095","get_cladelabel_position",2
"3096","get_cladelabel_position_",2
"3097","get_closest_match",2
"3098","get_component",2
"3099","get_connects",2
"3100","get_course_path",2
"3101","get_data_ft_api_domains",2
"3102","get_data_ft_api_terms",2
"3103","get_data_gdelt_periods_event",2
"3104","get_data_sentiment_ft_api_domains",2
"3105","get_data_sentiment_ft_api_terms",2
"3106","get_data_subset",2
"3107","get_data_wordcloud_ft_api_domains",2
"3108","get_data_wordcloud_ft_api_terms",2
"3109","get_densities",2
"3110","get_DGN_data",2
"3111","get_DO_data",2
"3112","get_env",2
"3113","get_events",2
"3114","get_expr",2
"3115","get_ga_data",2
"3116","get_git_df",2
"3117","get_GO_Env",2
"3118","get_GO2Ontology_table",2
"3119","get_GOTERM",2
"3120","get_gsminfo",2
"3121","get_initial_release_date",2
"3122","get_KEGG_db",2
"3123","get_KEGG_Env",2
"3124","get_keyval",2
"3125","get_last_edit",2
"3126","get_last_revisions",2
"3127","get_load_fxn",2
"3128","get_NCG_data",2
"3129","get_ngram_cnts",2
"3130","get_nhx_feature",2
"3131","get_nlp_api",2
"3132","get_object",2
"3133","get_openstreetmap",2
"3134","get_OVERRIDE_PROJ_DATUM_WITH_TOWGS84",2
"3135","get_quality",2
"3136","get_Reactome_DATA",2
"3137","get_rep_id_dt",2
"3138","get_save_fxn",2
"3139","get_sentiments",2
"3140","get_solution",2
"3141","get_source_data",2
"3142","get_species_name",2
"3143","get_species_name_idx",2
"3144","get_striplabel_position",2
"3145","get_striplabel_position_",2
"3146","get_svd",2
"3147","get_svd_u",2
"3148","get_time_human",2
"3149","get_timeline_sources",2
"3150","get_tipsegment_position",2
"3151","get_titles",2
"3152","get_tree_data",2
"3153","get_tree_edge_index_paml",2
"3154","get_tree_edge_paml",2
"3155","get_tree_index_paml",2
"3156","get_treescale_position",2
"3157","GET_tripit",2
"3158","get_type",2
"3159","get_UCSC_results",2
"3160","get_upper_tri",2
"3161","get_URL",2
"3162","get_urls_date",2
"3163","get_VDGN_data",2
"3164","getAceModes",2
"3165","getAceThemes",2
"3166","getAllFlankingGene",2
"3167","getAllPossible",2
"3168","getAncestors",2
"3169","getAR",2
"3170","getArgs",2
"3171","getBestK",2
"3172","getCancerStudies",2
"3173","getCarLocations",2
"3174","getCaseLists",2
"3175","getCausalImpactList",2
"3176","getCheckins",2
"3177","getClass",2
"3178","getClasses",2
"3179","getClinicalData",2
"3180","getColorTable",2
"3181","getCommands",2
"3182","getComments",2
"3183","getCommonHashtags",2
"3184","getConnectionState",2
"3185","getContext",2
"3186","getcoords",2
"3187","getCreated",2
"3188","getCurlInfo",2
"3189","getCurRateLimitInfo",2
"3190","getDefaultReactiveDomain",2
"3191","getDivide",2
"3192","getDoneIDs",2
"3193","getElementAttribute",2
"3194","getElementText",2
"3195","getFirstDate",2
"3196","getFollows",2
"3197","getFunctionalAnnotationChart",2
"3198","getGDAL_DATA_Path",2
"3199","getGDALCheckVersion",2
"3200","getGDALDriverNames",2
"3201","getGeneAnno",2
"3202","getGeneSet",2
"3203","getGeneticProfiles",2
"3204","getGenomicAnnoStat",2
"3205","getGenomicAnnotation",2
"3206","getGenomicVersion",2
"3207","getGeo",2
"3208","getGEOInfo",2
"3209","getGeoTransFunc",2
"3210","getGetElementPtr",2
"3211","getGffAttribution",2
"3212","getgid",2
"3213","getGmt",2
"3214","getGSMsuppFile",2
"3215","getIdTypes",2
"3216","getInputType",2
"3217","getInputVariables",2
"3218","getInsights",2
"3219","getIntegerType",2
"3220","getLatticePointColors",2
"3221","getLibsizes",2
"3222","getLimitFriends",2
"3223","getLimitList",2
"3224","getLimitRetweets",2
"3225","getLimitSearch",2
"3226","getLimitUsers",2
"3227","getLocation",2
"3228","getLog",2
"3229","GetMap",2
"3230","getMaps",2
"3231","getmat",2
"3232","getMatchups",2
"3233","getMaxID",2
"3234","getME",2
"3235","getMRCA",2
"3236","getn",2
"3237","getNewsfeed",2
"3238","getNextPosition",2
"3239","getNodeName",2
"3240","getOffsprings",2
"3241","getone",2
"3242","getPackratLibDir",2
"3243","getPageSource",2
"3244","getPairSim",2
"3245","getParents",2
"3246","getPhyInfo",2
"3247","getpid",2
"3248","getPlotDataSet",2
"3249","getPlotPoints",2
"3250","getPointColorsFromLatticeObject",2
"3251","getPositions",2
"3252","getpriority",2
"3253","getProfileData",2
"3254","getPROJ4libPath",2
"3255","getPROJ4VersionInfo",2
"3256","getProjectDirectory",2
"3257","getPushBulletHandle",2
"3258","getRasterBlockSize",2
"3259","getRasterTable",2
"3260","getReactions",2
"3261","getSampleFiles",2
"3262","getScore",2
"3263","getSentiment",2
"3264","getSeq",2
"3265","getSequence",2
"3266","getSeries",2
"3267","getSheets",2
"3268","getsim",2
"3269","getSlots",2
"3270","getSpecieNames",2
"3271","getSQLiteFile",2
"3272","getStatuses",2
"3273","getSubsetIDs",2
"3274","getSubsLabel",2
"3275","getSubtree",2
"3276","getSV",2
"3277","getTagMatrix",2
"3278","getTimeline",2
"3279","getTotalLines",2
"3280","getTreeArcAngles",2
"3281","getTweetIDs",2
"3282","getuid",2
"3283","getVarName",2
"3284","getWithin",2
"3285","getYahooLoc",2
"3286","getYcoord_scale_category",2
"3287","getYcoord_scale_numeric",2
"3288","gg",2
"3289","gganimate",2
"3290","ggMarginal",2
"3291","ggpie",2
"3292","ggplot_gtable",2
"3293","ggraph",2
"3294","ggseqlogo",2
"3295","ggtern",2
"3296","gIntersects",2
"3297","github_pat",2
"3298","gl_auth",2
"3299","gl_nlp",2
"3300","glmQLFit",2
"3301","glmQLFTest",2
"3302","globejs",2
"3303","glue",2
"3304","glue_data",2
"3305","gmt",2
"3306","go",2
"3307","GOAllFrame",2
"3308","goana",2
"3309","GOCollection",2
"3310","gof",2
"3311","GOFrame",2
"3312","google_analytics_4",2
"3313","google_analytics_account_list",2
"3314","goSim",2
"3315","gPolygonize",2
"3316","grabExpr",2
"3317","gradfun",2
"3318","graph_box",2
"3319","graph_from_incidence_matrix",2
"3320","graphNEL",2
"3321","greenWhiteRed",2
"3322","gridat",2
"3323","gridlines",2
"3324","group",2
"3325","group_edges",2
"3326","groupClade",2
"3327","groupClade_",2
"3328","groupGOTerms",2
"3329","groupOTU",2
"3330","gs_auth",2
"3331","gs_copy",2
"3332","gs_gap",2
"3333","gs_key",2
"3334","gs_url",2
"3335","GSEA",2
"3336","gseaEScore",2
"3337","gseaplot",2
"3338","gseaScores",2
"3339","gsheet2tbl",2
"3340","gtrellis_layout",2
"3341","gtrends",2
"3342","guess_formats",2
"3343","guessTaskClass",2
"3344","gUnaryUnion",2
"3345","gunzip",2
"3346","gvisGeoMap",2
"3347","gvisSankey",2
"3348","gvisTreeMap",2
"3349","h",2
"3350","h1_ranges",2
"3351","h2_ranges",2
"3352","has_name",2
"3353","hashmark",2
"3354","HBIC",2
"3355","hc_add_series_list",2
"3356","hc_add_theme",2
"3357","hc_colorAxis",2
"3358","hc_legend",2
"3359","hc_theme_null",2
"3360","hd",2
"3361","hdist",2
"3362","Heatmap",2
"3363","HeatmapAnnotation",2
"3364","helpPopup",2
"3365","hexmode",2
"3366","hi_latex",2
"3367","hi_loadings",2
"3368","hide_axis",2
"3369","HoltWinters",2
"3370","ht_global_opt",2
"3371","htmlTable",2
"3372","htmlTemplate",2
"3373","htmlTreeParse",2
"3374","humanTime",2
"3375","hyphy_",2
"3376","ICDseq",2
"3377","idType",2
"3378","if",2
"3379","ignite",2
"3380","igraph",2
"3381","iid",2
"3382","ilogit",2
"3383","image_animate",2
"3384","image_background",2
"3385","image_blank",2
"3386","image_composite",2
"3387","image_edge",2
"3388","image_implode",2
"3389","image_join",2
"3390","image_negate",2
"3391","image_noise",2
"3392","image_ocr",2
"3393","image_oilpaint",2
"3394","image_quantize",2
"3395","image_reducenoise",2
"3396","image_rsvg",2
"3397","inc",2
"3398","inches_to_feet",2
"3399","incident",2
"3400","incProgress",2
"3401","inEdges",2
"3402","infoContentMethod_cpp",2
"3403","initFigureDirectory",2
"3404","InitializeNativeTarget",2
"3405","inside",2
"3406","insightsDataToDF",2
"3407","inspect",2
"3408","install_bioc",2
"3409","install_bitbucket",2
"3410","install_git",2
"3411","install_local",2
"3412","install_rstan",2
"3413","install_svn",2
"3414","intCoverageMatrix",2
"3415","internal2",2
"3416","interpolate",2
"3417","intronsByTranscript",2
"3418","inv",2
"3419","iplot",2
"3420","iplotMap",2
"3421","iplotScanone",2
"3422","IRBuilder",2
"3423","is_a",2
"3424","is_blank",2
"3425","is_numeric",2
"3426","is_osx",2
"3427","is_out",2
"3428","isAdmin",2
"3429","isBedFile",2
"3430","isGeneric",2
"3431","isNamespace",2
"3432","isObjPtrNULL",2
"3433","isS4",2
"3434","isTip",2
"3435","items_to_array",2
"3436","items_to_coda",2
"3437","itpl",2
"3438","jBuPuFun",2
"3439","JeffLeek",2
"3440","jGraysFun",2
"3441","jmod",2
"3442","jparse",2
"3443","jplace_treetext_to_phylo",2
"3444","jprod",2
"3445","json",2
"3446","K",2
"3447","keepGOterm",2
"3448","KEGG_extid2path",2
"3449","kegg_link",2
"3450","kegg_list",2
"3451","KEGG_path2extid",2
"3452","kegg_species_data",2
"3453","KEGGPATHID2EXTID",2
"3454","kGetPlotPoints",2
"3455","knit2html",2
"3456","knitr_in",2
"3457","knn3",2
"3458","knot_hash",2
"3459","kPredict",2
"3460","kPredicts",2
"3461","kSplit",2
"3462","labeledHeatmap",2
"3463","labelMandatory",2
"3464","labels2colors",2
"3465","ladderize",2
"3466","lag_time",2
"3467","laply",2
"3468","latestSchoolNames",2
"3469","latlong2state",2
"3470","layer_bars",2
"3471","layer_points",2
"3472","layer_text",2
"3473","layersControlOptions",2
"3474","layout_fan",2
"3475","layout_in_circle",2
"3476","layout_on_sphere",2
"3477","layout_randomly",2
"3478","layout_with_fr",2
"3479","layout_with_kk",2
"3480","layoutDaylight",2
"3481","layoutEqualAngle",2
"3482","LDA",2
"3483","lead",2
"3484","leading_edge",2
"3485","legislators_to_array",2
"3486","legislators_to_coda",2
"3487","legtype",2
"3488","levelplot",2
"3489","lex_value",2
"3490","lift",2
"3491","likesListToDF",2
"3492","limmaquickpca2go",2
"3493","linDA",2
"3494","line_to_points",2
"3495","linearY",2
"3496","linked_brush",2
"3497","list_parse2",2
"3498","list_repos",2
"3499","list_trips",2
"3500","list2graph",2
"3501","liveplot",2
"3502","llvmCallFunction",2
"3503","load_all",2
"3504","load_data",2
"3505","loadDb",2
"3506","loadedNamespaces",2
"3507","loader",2
"3508","loadfonts",2
"3509","loadGOMap",2
"3510","loadICdata",2
"3511","loadMerged",2
"3512","loadWorkbook",2
"3513","locf",2
"3514","loess",2
"3515","logAccess",2
"3516","login",2
"3517","loginOutput",2
"3518","logjs",2
"3519","loglk",2
"3520","loop_func",2
"3521","low_matrix",2
"3522","lrtest",2
"3523","mahalanobis",2
"3524","make_bbox",2
"3525","make_cohort_group",2
"3526","make_every_so_often",2
"3527","make_ga_4_req",2
"3528","make_mvn",2
"3529","make_my_plot",2
"3530","make_my_table",2
"3531","make_R_source_file",2
"3532","make_Rcpp_sugar_file",2
"3533","make_repo",2
"3534","make_test_data",2
"3535","make_unipar",2
"3536","makeDepGraph",2
"3537","makeExampleDESeqDataSet",2
"3538","makeFormula",2
"3539","makePairs",2
"3540","makeReactiveBinding",2
"3541","makeThumb",2
"3542","makeX",2
"3543","manageSession",2
"3544","manhattan",2
"3545","map_at",2
"3546","map_if",2
"3547","map_n",2
"3548","map_progress",2
"3549","map2_dbl",2
"3550","map2_df",2
"3551","map2_int",2
"3552","map2_lgl",2
"3553","map2SpatialPolygons",2
"3554","MapDF",2
"3555","mapNames",2
"3556","mapStates",2
"3557","markdownToHTML",2
"3558","marker_names",2
"3559","markerindex",2
"3560","markLineControl",2
"3561","markPointControl",2
"3562","mask",2
"3563","mat",2
"3564","matchBWT",2
"3565","matchNums",2
"3566","math_format",2
"3567","matlines",2
"3568","MatVar",2
"3569","max_register",2
"3570","maxmind",2
"3571","MaxZoom",2
"3572","maybe_code",2
"3573","MCA",2
"3574","mccollect",2
"3575","mcmapply",2
"3576","MCMCirtHier1d",2
"3577","md_data",2
"3578","md_dims",2
"3579","md_metrics",2
"3580","md_object",2
"3581","mdply",2
"3582","mean_lines",2
"3583","mean_x",2
"3584","mean_y",2
"3585","med",2
"3586","memoise",2
"3587","memtest",2
"3588","mergeCloseModules",2
"3589","mergeData",2
"3590","meshSim",2
"3591","Meta",2
"3592","metadata",2
"3593","mf",2
"3594","mi",2
"3595","mime_part",2
"3596","minDelay",2
"3597","minnwang_figs",2
"3598","minutes",2
"3599","MIPModel",2
"3600","mixnorm_gen_funcs",2
"3601","mixnorm_ui",2
"3602","mlp",2
"3603","modify_yaml",2
"3604","moduleEigengenes",2
"3605","mongo",2
"3606","monkeylearn_extract",2
"3607","monthly",2
"3608","mostXNames",2
"3609","mostXSingleNames",2
"3610","move",2
"3611","moveCars",2
"3612","moves",2
"3613","movies_module_UI",2
"3614","movies_with_type",2
"3615","mqmaugment",2
"3616","mqmautocofactors",2
"3617","mqmextractmarkers",2
"3618","mqmgetmodel",2
"3619","mqmpermutation",2
"3620","mqmprocesspermutation",2
"3621","mqmscan",2
"3622","mqmscanfdr",2
"3623","mqmsetcofactors",2
"3624","MRCA",2
"3625","mse",2
"3626","mst",2
"3627","mtime",2
"3628","multi_figs",2
"3629","multi_figs_examples",2
"3630","MulticoreParam",2
"3631","multifile_matrix",2
"3632","multiply_spots",2
"3633","multitrait",2
"3634","mutate_each",2
"3635","mutinformation",2
"3636","my_exp1",2
"3637","my_lift",2
"3638","my_ploteQTL",2
"3639","my_plotGenetpattern",2
"3640","my_repos",2
"3641","myDataTable",2
"3642","mypar",2
"3643","myplclust",2
"3644","myplot_formal",2
"3645","myplot_formal_trace",2
"3646","myplotgeno",2
"3647","mysql_getData",2
"3648","n_cases",2
"3649","n_col",2
"3650","n_escape",2
"3651","n_traces",2
"3652","naiveBayes",2
"3653","ncv",2
"3654","NegLogLik",2
"3655","neighborhood",2
"3656","neighbors",2
"3657","neighbour",2
"3658","networkDynamic",2
"3659","new_context",2
"3660","new_coords",2
"3661","new_function",2
"3662","newLines",2
"3663","newsDataToDF",2
"3664","nhx",2
"3665","nLL",2
"3666","nnls",2
"3667","nodeDensity",2
"3668","nodeids",2
"3669","nonzero_var",2
"3670","nonzero_var_internal",2
"3671","norm_coords",2
"3672","norm_gen_funcs",2
"3673","norm_ui",2
"3674","normalize_chars",2
"3675","normalized",2
"3676","normalized_ES",2
"3677","normDat",2
"3678","notificationItem",2
"3679","nPlot",2
"3680","nqrank",2
"3681","NROW",2
"3682","nsidc_scrape",2
"3683","null1",2
"3684","null2",2
"3685","null3",2
"3686","null4",2
"3687","NULLs",2
"3688","num",2
"3689","numberOfDays",2
"3690","numbers2colors",2
"3691","nyu",2
"3692","obj3",2
"3693","obs",2
"3694","ocr",2
"3695","ocr_data",2
"3696","odbcClose",2
"3697","odbcConnect",2
"3698","odTest",2
"3699","offspring",2
"3700","ogrDeleteDataSource",2
"3701","ogrDeleteLayer",2
"3702","ohe",2
"3703","ols",2
"3704","onclick",2
"3705","oncoPrint",2
"3706","one_sample",2
"3707","onefile_views",2
"3708","openmap",2
"3709","optspacing",2
"3710","oranges",2
"3711","orderMarkers",2
"3712","orderMEs",2
"3713","overlap",2
"3714","overlap_ratio",2
"3715","overWriteTable",2
"3716","p_viz",2
"3717","packageData",2
"3718","packageStream",2
"3719","page_rank",2
"3720","pair_corr",2
"3721","pal_lancet",2
"3722","palf",2
"3723","par_roll_lm",2
"3724","parallelLapply",2
"3725","parallelStartSocket",2
"3726","parallelStop",2
