"","funkcja","czestosc","kategoria"
"7292","scale_size_area",0.0002639857,"B"
"7293","scale_y_discrete",0.0002639857,"B"
"7294","scanone",0.0002639857,"B"
"7295","set_names",0.0002639857,"B"
"7296","SpatialPoints",0.0002639857,"B"
"7297","stat_summary",0.0002639857,"B"
"7298","str_split_fixed",0.0002639857,"B"
"7299","submitButton",0.0002639857,"B"
"7300","tabBox",0.0002639857,"B"
"7301","tempdir",0.0002639857,"B"
"7302","test_dir",0.0002639857,"B"
"7303","test_that",0.0002639857,"B"
"7304","textGrob",0.0002639857,"B"
"7305","trainControl",0.0002639857,"B"
"7306","union",0.0002639857,"B"
"7307","unname",0.0002639857,"B"
"7308","unzip",0.0002639857,"B"
"7309","WDI",0.0002639857,"B"
"7310","wilcox.test",0.0002639857,"B"
"7311","xts",0.0002639857,"B"
"7312","arrow",0.0002419869,"B"
"7313","coord_fixed",0.0002419869,"B"
"7314","counts",0.0002419869,"B"
"7315","dcast",0.0002419869,"B"
"7316","DESeqDataSetFromMatrix",0.0002419869,"B"
"7317","globalenv",0.0002419869,"B"
"7318","h5",0.0002419869,"B"
"7319","html_text",0.0002419869,"B"
"7320","row_number",0.0002419869,"B"
"7321","scale_fill_gradientn",0.0002419869,"B"
"7322","scale_linetype_manual",0.0002419869,"B"
"7323","scale_size_continuous",0.0002419869,"B"
"7324","span",0.0002419869,"B"
"7325","useShinyjs",0.0002419869,"B"
"7326","wellPanel",0.0002419869,"B"
"7327","xgb.DMatrix",0.0002419869,"B"
"7328","xgb.train",0.0002419869,"B"
"7329","addLegend",0.0002199881,"B"
"7330","addPolygons",0.0002199881,"B"
"7331","alpha",0.0002199881,"B"
"7332","aq_measurements",0.0002199881,"B"
"7333","as.yearmon",0.0002199881,"B"
"7334","calcNormFactors",0.0002199881,"B"
"7335","callModule",0.0002199881,"B"
"7336","capture.output",0.0002199881,"B"
"7337","chisq.test",0.0002199881,"B"
"7338","col2rgb",0.0002199881,"B"
"7339","combn",0.0002199881,"B"
"7340","commandArgs",0.0002199881,"B"
"7341","degree",0.0002199881,"B"
"7342","DGEList",0.0002199881,"B"
"7343","digest",0.0002199881,"B"
"7344","do",0.0002199881,"B"
"7345","DropNA",0.0002199881,"B"
"7346","eBayes",0.0002199881,"B"
"7347","everything",0.0002199881,"B"
"7348","expect_equal",0.0002199881,"B"
"7349","export",0.0002199881,"B"
"7350","file.rename",0.0002199881,"B"
"7351","findCommonID",0.0002199881,"B"
"7352","floor_date",0.0002199881,"B"
"7353","fun",0.0002199881,"B"
"7354","funs",0.0002199881,"B"
"7355","geom_violin",0.0002199881,"B"
"7356","getCurlHandle",0.0002199881,"B"
"7357","getNodeSet",0.0002199881,"B"
"7358","gg_animate",0.0002199881,"B"
"7359","ggplotly",0.0002199881,"B"
"7360","GRanges",0.0002199881,"B"
"7361","gregexpr",0.0002199881,"B"
"7362","hsv",0.0002199881,"B"
"7363","html_attr",0.0002199881,"B"
"7364","htmlParse",0.0002199881,"B"
"7365","image_read",0.0002199881,"B"
"7366","invalidateLater",0.0002199881,"B"
"7367","IRanges",0.0002199881,"B"
"7368","kable",0.0002199881,"B"
"7369","knit",0.0002199881,"B"
"7370","lmFit",0.0002199881,"B"
"7371","make.names",0.0002199881,"B"
"7372","mapview",0.0002199881,"B"
"7373","match.call",0.0002199881,"B"
"7374","na.spline",0.0002199881,"B"
"7375","ns",0.0002199881,"B"
"7376","p.adjust",0.0002199881,"B"
"7377","percent_format",0.0002199881,"B"
"7378","pretty",0.0002199881,"B"
"7379","pull.map",0.0002199881,"B"
"7380","qchisq",0.0002199881,"B"
"7381","qnorm",0.0002199881,"B"
"7382","qqnorm",0.0002199881,"B"
"7383","rainbow",0.0002199881,"B"
"7384","readPNG",0.0002199881,"B"
"7385","relevel",0.0002199881,"B"
"7386","representation",0.0002199881,"B"
"7387","rescale",0.0002199881,"B"
"7388","rmse",0.0002199881,"B"
"7389","roc",0.0002199881,"B"
"7390","scale_colour_brewer",0.0002199881,"B"
"7391","scale_fill_continuous",0.0002199881,"B"
"7392","separate",0.0002199881,"B"
"7393","shinytheme",0.0002199881,"B"
"7394","stopCluster",0.0002199881,"B"
"7395","str_length",0.0002199881,"B"
"7396","strftime",0.0002199881,"B"
"7397","sweep",0.0002199881,"B"
"7398","Sys.info",0.0002199881,"B"
"7399","tally",0.0002199881,"B"
"7400","topTable",0.0002199881,"B"
"7401","ts",0.0002199881,"B"
"7402","unlistWithNA",0.0002199881,"B"
"7403","URLencode",0.0002199881,"B"
"7404","voom",0.0002199881,"B"
"7405","writeOGR",0.0002199881,"B"
"7406","ymd_hms",0.0002199881,"B"
"7407","add_headers",0.0001979893,"B"
"7408","anova",0.0001979893,"B"
"7409","browseURL",0.0001979893,"B"
"7410","brushedPoints",0.0001979893,"B"
"7411","DESeq",0.0001979893,"B"
"7412","h2o.init",0.0001979893,"B"
"7413","navbarPage",0.0001979893,"B"
"7414","nlevels",0.0001979893,"B"
"7415","prediction",0.0001979893,"B"
"7416","results",0.0001979893,"B"
"7417","scale_x_datetime",0.0001979893,"B"
"7418","signif",0.0001979893,"B"
"7419","slice",0.0001979893,"B"
"7420","str_extract_all",0.0001979893,"B"
"7421","str_to_title",0.0001979893,"B"
"7422","theme_gray",0.0001979893,"B"
"7423","toString",0.0001979893,"B"
"7424","weekdays",0.0001979893,"B"
"7425","abbreviate",0.0001759905,"B"
"7426","add_axis",0.0001759905,"B"
"7427","addCircleMarkers",0.0001759905,"B"
"7428","addSource",0.0001759905,"B"
"7429","aov",0.0001759905,"B"
"7430","as.environment",0.0001759905,"B"
"7431","autoplot",0.0001759905,"B"
"7432","available.packages",0.0001759905,"B"
"7433","bb",0.0001759905,"B"
"7434","bind_shiny",0.0001759905,"B"
"7435","bootstrapPage",0.0001759905,"B"
"7436","Cairo",0.0001759905,"B"
"7437","clean.variable.name",0.0001759905,"B"
"7438","clean_names",0.0001759905,"B"
"7439","confusionMatrix",0.0001759905,"B"
"7440","Corpus",0.0001759905,"B"
"7441","crossprod",0.0001759905,"B"
"7442","d3heatmap",0.0001759905,"B"
"7443","date",0.0001759905,"B"
"7444","day",0.0001759905,"B"
"7445","dbListTables",0.0001759905,"B"
"7446","detach",0.0001759905,"B"
"7447","dexp",0.0001759905,"B"
"7448","dir.exists",0.0001759905,"B"
"7449","dirname",0.0001759905,"B"
"7450","DpiGet",0.0001759905,"B"
"7451","dygraph",0.0001759905,"B"
"7452","E",0.0001759905,"B"
"7453","eigen",0.0001759905,"B"
"7454","extract",0.0001759905,"B"
"7455","FindDups",0.0001759905,"B"
"7456","first",0.0001759905,"B"
"7457","fivenum",0.0001759905,"B"
"7458","format.twitter.date",0.0001759905,"B"
"7459","geom_col",0.0001759905,"B"
"7460","geom_linerange",0.0001759905,"B"
"7461","get_timeline",0.0001759905,"B"
"7462","getGEO",0.0001759905,"B"
"7463","getUsers",0.0001759905,"B"
"7464","ggvis",0.0001759905,"B"
"7465","ggvisOutput",0.0001759905,"B"
"7466","glob2rx",0.0001759905,"B"
"7467","graph.adjacency",0.0001759905,"B"
"7468","grey",0.0001759905,"B"
"7469","h2o.importFile",0.0001759905,"B"
"7470","hc_xAxis",0.0001759905,"B"
"7471","hide",0.0001759905,"B"
"7472","html",0.0001759905,"B"
"7473","html_node",0.0001759905,"B"
"7474","image_write",0.0001759905,"B"
"7475","is.logical",0.0001759905,"B"
"7476","is.vector",0.0001759905,"B"
"7477","isTRUE",0.0001759905,"B"
"7478","kmeans",0.0001759905,"B"
"7479","layer",0.0001759905,"B"
"7480","llply",0.0001759905,"B"
"7481","logical",0.0001759905,"B"
"7482","lower.tri",0.0001759905,"B"
"7483","map_lgl",0.0001759905,"B"
"7484","mat.or.vec",0.0001759905,"B"
"7485","mcmc",0.0001759905,"B"
"7486","modifyList",0.0001759905,"B"
"7487","months",0.0001759905,"B"
"7488","mysample",0.0001759905,"B"
"7489","nearPoints",0.0001759905,"B"
"7490","outer",0.0001759905,"B"
"7491","parent.frame",0.0001759905,"B"
"7492","pchisq",0.0001759905,"B"
"7493","poisson",0.0001759905,"B"
"7494","polygon",0.0001759905,"B"
"7495","Polygon",0.0001759905,"B"
"7496","Polygons",0.0001759905,"B"
"7497","q",0.0001759905,"B"
"7498","qqline",0.0001759905,"B"
"7499","rank",0.0001759905,"B"
"7500","rbindlist",0.0001759905,"B"
"7501","read.dbf",0.0001759905,"B"
"7502","rect.hclust",0.0001759905,"B"
"7503","regexpr",0.0001759905,"B"
"7504","registerDoMC",0.0001759905,"B"
"7505","registerTwitterOAuth",0.0001759905,"B"
"7506","rep_len",0.0001759905,"B"
"7507","residuals",0.0001759905,"B"
"7508","restore",0.0001759905,"B"
"7509","rug",0.0001759905,"B"
"7510","runApp",0.0001759905,"B"
"7511","sample_n",0.0001759905,"B"
"7512","save.image",0.0001759905,"B"
"7513","scale_fill_viridis",0.0001759905,"B"
"7514","scale_size",0.0001759905,"B"
"7515","selectizeInput",0.0001759905,"B"
"7516","sendCustomMessage",0.0001759905,"B"
"7517","sessionInfo",0.0001759905,"B"
"7518","set_valid_wd",0.0001759905,"B"
"7519","shapefile",0.0001759905,"B"
"7520","singleton",0.0001759905,"B"
"7521","SpatialPolygons",0.0001759905,"B"
"7522","SpatialPolygonsDataFrame",0.0001759905,"B"
"7523","stopwords",0.0001759905,"B"
"7524","subplot",0.0001759905,"B"
"7525","TermDocumentMatrix",0.0001759905,"B"
"7526","theme_classic",0.0001759905,"B"
"7527","theme_ipsum",0.0001759905,"B"
"7528","theme_rect",0.0001759905,"B"
"7529","tidy",0.0001759905,"B"
"7530","transmute",0.0001759905,"B"
"7531","transpose",0.0001759905,"B"
"7532","update",0.0001759905,"B"
"7533","updateTextInput",0.0001759905,"B"
"7534","url",0.0001759905,"B"
"7535","V",0.0001759905,"B"
"7536","valueBox",0.0001759905,"B"
"7537","vcov",0.0001759905,"B"
"7538","Vectorize",0.0001759905,"B"
"7539","VectorSource",0.0001759905,"B"
"7540","week",0.0001759905,"B"
"7541","with_shiny",0.0001759905,"B"
"7542","xgboost",0.0001759905,"B"
"7543","xpathSApply",0.0001759905,"B"
"7544","yaml.load_file",0.0001759905,"B"
"7545","atop",0.0001539917,"B"
"7546","colData",0.0001539917,"B"
"7547","colors",0.0001539917,"B"
"7548","coxph",0.0001539917,"B"
"7549","fetch",0.0001539917,"B"
"7550","file.edit",0.0001539917,"B"
"7551","geom_ribbon",0.0001539917,"B"
"7552","gh",0.0001539917,"B"
"7553","gpclibPermit",0.0001539917,"B"
"7554","guide_colorbar",0.0001539917,"B"
"7555","hidden",0.0001539917,"B"
"7556","hms",0.0001539917,"B"
"7557","link",0.0001539917,"B"
"7558","list.dirs",0.0001539917,"B"
"7559","Matrix",0.0001539917,"B"
"7560","object.size",0.0001539917,"B"
"7561","on",0.0001539917,"B"
"7562","plot_ly",0.0001539917,"B"
"7563","POST",0.0001539917,"B"
"7564","render",0.0001539917,"B"
"7565","run",0.0001539917,"B"
"7566","sparse.model.matrix",0.0001539917,"B"
"7567","stop_for_status",0.0001539917,"B"
"7568","Surv",0.0001539917,"B"
"7569","tbl",0.0001539917,"B"
"7570","theme_grey",0.0001539917,"B"
"7571","transform",0.0001539917,"B"
"7572","updateSelectInput",0.0001539917,"B"
"7573","withProgress",0.0001539917,"B"
"7574","access_token",0.0001319929,"B"
"7575","aceEditor",0.0001319929,"B"
"7576","addCircles",0.0001319929,"B"
"7577","addParams",0.0001319929,"B"
"7578","addProviderTiles",0.0001319929,"B"
"7579","all.vars",0.0001319929,"B"
"7580","anti_join",0.0001319929,"B"
"7581","as.dist",0.0001319929,"B"
"7582","as.double",0.0001319929,"B"
"7583","atan",0.0001319929,"B"
"7584","auc",0.0001319929,"B"
"7585","basicPage",0.0001319929,"B"
"7586","biocLite",0.0001319929,"B"
"7587","bplapply",0.0001319929,"B"
"7588","by_row",0.0001319929,"B"
"7589","bzfile",0.0001319929,"B"
"7590","cast",0.0001319929,"B"
"7591","chol",0.0001319929,"B"
"7592","choose",0.0001319929,"B"
"7593","clean.unicode",0.0001319929,"B"
"7594","col",0.0001319929,"B"
"7595","colorNumeric",0.0001319929,"B"
"7596","compact",0.0001319929,"B"
"7597","confint",0.0001319929,"B"
"7598","contour",0.0001319929,"B"
"7599","cpm",0.0001319929,"B"
"7600","d3heatmapOutput",0.0001319929,"B"
"7601","DataFrame",0.0001319929,"B"
"7602","date_breaks",0.0001319929,"B"
"7603","dput",0.0001319929,"B"
"7604","drop",0.0001319929,"B"
"7605","dt",0.0001319929,"B"
"7606","dygraphOutput",0.0001319929,"B"
"7607","ecdf",0.0001319929,"B"
"7608","effectplot",0.0001319929,"B"
"7609","end",0.0001319929,"B"
"7610","estimateSizeFactors",0.0001319929,"B"
"7611","ExecutionEngine",0.0001319929,"B"
"7612","exonsBy",0.0001319929,"B"
"7613","extent",0.0001319929,"B"
"7614","fct_reorder",0.0001319929,"B"
"7615","fitted",0.0001319929,"B"
"7616","flatten_dbl",0.0001319929,"B"
"7617","force",0.0001319929,"B"
"7618","forceNetwork",0.0001319929,"B"
"7619","forecast",0.0001319929,"B"
"7620","full_join",0.0001319929,"B"
"7621","geno.image",0.0001319929,"B"
"7622","geocode",0.0001319929,"B"
"7623","geojson_write",0.0001319929,"B"
"7624","geom_label_repel",0.0001319929,"B"
"7625","geom_pointrange",0.0001319929,"B"
"7626","geom_text_repel",0.0001319929,"B"
"7627","get_opts",0.0001319929,"B"
"7628","getFriends",0.0001319929,"B"
"7629","getgenonames",0.0001319929,"B"
"7630","getNativeSymbolInfo",0.0001319929,"B"
"7631","getRversion",0.0001319929,"B"
"7632","getStream",0.0001319929,"B"
"7633","getTagCount",0.0001319929,"B"
"7634","getText",0.0001319929,"B"
"7635","glmFit",0.0001319929,"B"
"7636","glmLRT",0.0001319929,"B"
"7637","googleAuthUI",0.0001319929,"B"
"7638","graph_from_data_frame",0.0001319929,"B"
"7639","gray",0.0001319929,"B"
"7640","gridded",0.0001319929,"B"
"7641","hchart",0.0001319929,"B"
"7642","heat.colors",0.0001319929,"B"
"7643","help",0.0001319929,"B"
"7644","here",0.0001319929,"B"
"7645","highchartOutput",0.0001319929,"B"
"7646","html_table",0.0001319929,"B"
"7647","htmlOutput",0.0001319929,"B"
"7648","imageOutput",0.0001319929,"B"
"7649","includeHTML",0.0001319929,"B"
"7650","includeText",0.0001319929,"B"
"7651","index",0.0001319929,"B"
"7652","interaction",0.0001319929,"B"
"7653","IP",0.0001319929,"B"
"7654","is.error",0.0001319929,"B"
"7655","is.factor",0.0001319929,"B"
"7656","is.function",0.0001319929,"B"
"7657","is.integer",0.0001319929,"B"
"7658","jsonedit",0.0001319929,"B"
"7659","JSONtoDF",0.0001319929,"B"
"7660","keys",0.0001319929,"B"
"7661","kNN",0.0001319929,"B"
"7662","kruskal.test",0.0001319929,"B"
"7663","lda",0.0001319929,"B"
"7664","li",0.0001319929,"B"
"7665","Line",0.0001319929,"B"
"7666","Lines",0.0001319929,"B"
"7667","llvmAddSymbol",0.0001319929,"B"
"7668","load.project",0.0001319929,"B"
"7669","Map",0.0001319929,"B"
"7670","map2_chr",0.0001319929,"B"
"7671","markernames",0.0001319929,"B"
"7672","mcols",0.0001319929,"B"
"7673","mget",0.0001319929,"B"
"7674","MortalityMatrix",0.0001319929,"B"
"7675","MoveFront",0.0001319929,"B"
"7676","multiplot",0.0001319929,"B"
"7677","mutate_at",0.0001319929,"B"
"7678","mutate_if",0.0001319929,"B"
"7679","myround",0.0001319929,"B"
"7680","navigate",0.0001319929,"B"
"7681","Negate",0.0001319929,"B"
"7682","nest",0.0001319929,"B"
"7683","network",0.0001319929,"B"
"7684","nind",0.0001319929,"B"
"7685","now",0.0001319929,"B"
"7686","nphe",0.0001319929,"B"
"7687","nzchar",0.0001319929,"B"
"7688","oauth_app",0.0001319929,"B"
"7689","OAuthRequest",0.0001319929,"B"
"7690","op",0.0001319929,"B"
"7691","optimize",0.0001319929,"B"
"7692","packageStartupMessage",0.0001319929,"B"
"7693","parse.coordinates",0.0001319929,"B"
"7694","parseQueryString",0.0001319929,"B"
"7695","parseTweets",0.0001319929,"B"
"7696","path_real",0.0001319929,"B"
"7697","peq",0.0001319929,"B"
"7698","pickMarkerSubset",0.0001319929,"B"
"7699","plot.new",0.0001319929,"B"
"7700","position_dodge",0.0001319929,"B"
"7701","pt",0.0001319929,"B"
"7702","pull.markers",0.0001319929,"B"
"7703","qt",0.0001319929,"B"
"7704","R.home",0.0001319929,"B"
"7705","rasterImage",0.0001319929,"B"
"7706","rbeta",0.0001319929,"B"
"7707","read.spss",0.0001319929,"B"
"7708","read_lines",0.0001319929,"B"
"7709","read_tsv",0.0001319929,"B"
"7710","readBin",0.0001319929,"B"
"7711","reduce",0.0001319929,"B"
"7712","regexec",0.0001319929,"B"
"7713","renderD3heatmap",0.0001319929,"B"
"7714","renderDygraph",0.0001319929,"B"
"7715","renderHighchart",0.0001319929,"B"
"7716","renderImage",0.0001319929,"B"
"7717","renderValueBox",0.0001319929,"B"
"7718","restart",0.0001319929,"B"
"7719","rgb2hsv",0.0001319929,"B"
"7720","rmvnorm",0.0001319929,"B"
"7721","row",0.0001319929,"B"
"7722","rowwise",0.0001319929,"B"
"7723","rPlot",0.0001319929,"B"
"7724","scale_area",0.0001319929,"B"
"7725","scale_color_gradient2",0.0001319929,"B"
"7726","scale_color_hue",0.0001319929,"B"
"7727","scale_fill_hue",0.0001319929,"B"
"7728","score",0.0001319929,"B"
"7729","searchTwitter",0.0001319929,"B"
"7730","semi_join",0.0001319929,"B"
"7731","seqlevels",0.0001319929,"B"
"7732","setkey",0.0001319929,"B"
"7733","setReplaceMethod",0.0001319929,"B"
"7734","sim.geno",0.0001319929,"B"
"7735","slide",0.0001319929,"B"
"7736","slot",0.0001319929,"B"
"7737","source_url",0.0001319929,"B"
"7738","sparseMatrix",0.0001319929,"B"
"7739","SpatialLines",0.0001319929,"B"
"7740","st_as_sf",0.0001319929,"B"
"7741","st_read",0.0001319929,"B"
"7742","st_transform",0.0001319929,"B"
"7743","stack",0.0001319929,"B"
"7744","stan",0.0001319929,"B"
"7745","stargazer",0.0001319929,"B"
"7746","stderr",0.0001319929,"B"
"7747","stdout",0.0001319929,"B"
"7748","stopApp",0.0001319929,"B"
"7749","str_count",0.0001319929,"B"
"7750","stripchart",0.0001319929,"B"
"7751","Sys.unsetenv",0.0001319929,"B"
"7752","textarea",0.0001319929,"B"
"7753","theme_blank",0.0001319929,"B"
"7754","time",0.0001319929,"B"
"7755","tmap_mode",0.0001319929,"B"
"7756","topo.colors",0.0001319929,"B"
"7757","toTable",0.0001319929,"B"
"7758","tribble",0.0001319929,"B"
"7759","typeof",0.0001319929,"B"
"7760","unnest_tokens",0.0001319929,"B"
"7761","updateNumericInput",0.0001319929,"B"
"7762","updateTabsetPanel",0.0001319929,"B"
"7763","upper.tri",0.0001319929,"B"
"7764","UseMethod",0.0001319929,"B"
"7765","userDataToDF",0.0001319929,"B"
"7766","userTimeline",0.0001319929,"B"
"7767","valueBoxOutput",0.0001319929,"B"
"7768","vars",0.0001319929,"B"
"7769","vplayout",0.0001319929,"B"
"7770","window",0.0001319929,"B"
"7771","with_tz",0.0001319929,"B"
"7772","wordcloud",0.0001319929,"B"
"7773","wtd.mean",0.0001319929,"B"
"7774","xaxisloc.scanone",0.0001319929,"B"
"7775","xmlParse",0.0001319929,"B"
"7776","xmlValue",0.0001319929,"B"
"7777","",0.0001099941,"B"
"7778","approx",0.0001099941,"B"
"7779","assay",0.0001099941,"B"
"7780","bold",0.0001099941,"B"
"7781","brushOpts",0.0001099941,"B"
"7782","fixedPage",0.0001099941,"B"
"7783","fixedRow",0.0001099941,"B"
"7784","geom_rug",0.0001099941,"B"
"7785","getState",0.0001099941,"B"
"7786","glmnet",0.0001099941,"B"
"7787","h2o.performance",0.0001099941,"B"
"7788","heatmap.2",0.0001099941,"B"
"7789","mdy",0.0001099941,"B"
"7790","odbcDriverConnect",0.0001099941,"B"
"7791","plotlyOutput",0.0001099941,"B"
"7792","plumb",0.0001099941,"B"
"7793","prettyNum",0.0001099941,"B"
"7794","read_delim",0.0001099941,"B"
"7795","renderPlotly",0.0001099941,"B"
"7796","setView",0.0001099941,"B"
"7797","sqlQuery",0.0001099941,"B"
"7798","sys.function",0.0001099941,"B"
"7799","toggle",0.0001099941,"B"
"7800","top_n",0.0001099941,"B"
"7801",".Deprecated",8.79952e-05,"B"
"7802",".hasSlot",8.79952e-05,"B"
"7803",".llvm",8.79952e-05,"B"
"7804","aceAutocomplete",8.79952e-05,"B"
"7805","acf",8.79952e-05,"B"
"7806","add",8.79952e-05,"B"
"7807","add_tooltip",8.79952e-05,"B"
"7808","addPolylines",8.79952e-05,"B"
"7809","addPopups",8.79952e-05,"B"
"7810","addqtl",8.79952e-05,"B"
"7811","addSave",8.79952e-05,"B"
"7812","adf.test",8.79952e-05,"B"
"7813","adply",8.79952e-05,"B"
"7814","annotation_custom",8.79952e-05,"B"
"7815","AnomalyDetectionTs",8.79952e-05,"B"
"7816","anyDuplicated",8.79952e-05,"B"
"7817","argmax.geno",8.79952e-05,"B"
"7818","arima.sim",8.79952e-05,"B"
"7819","as.name",8.79952e-05,"B"
"7820","as.phylo",8.79952e-05,"B"
"7821","assert_that",8.79952e-05,"B"
"7822","atan2",8.79952e-05,"B"
"7823","authDropdownUI",8.79952e-05,"B"
"7824","axis_props",8.79952e-05,"B"
"7825","b",8.79952e-05,"B"
"7826","base64encode",8.79952e-05,"B"
"7827","baseenv",8.79952e-05,"B"
"7828","bayesglm",8.79952e-05,"B"
"7829","between",8.79952e-05,"B"
"7830","betweenness",8.79952e-05,"B"
"7831","bin",8.79952e-05,"B"
"7832","board",8.79952e-05,"B"
"7833","breakpoints",8.79952e-05,"B"
"7834","brushed",8.79952e-05,"B"
"7835","button",8.79952e-05,"B"
"7836","bwplot",8.79952e-05,"B"
"7837","CA",8.79952e-05,"B"
"7838","cache",8.79952e-05,"B"
"7839","callAPI",8.79952e-05,"B"
"7840","cat0",8.79952e-05,"B"
"7841","cat0a",8.79952e-05,"B"
"7842","ceiling_date",8.79952e-05,"B"
"7843","change",8.79952e-05,"B"
"7844","chrnames",8.79952e-05,"B"
"7845","classify",8.79952e-05,"B"
"7846","classIntervals",8.79952e-05,"B"
"7847","clean.text",8.79952e-05,"B"
"7848","clean.zipcodes",8.79952e-05,"B"
"7849","CleanHomicides",8.79952e-05,"B"
"7850","cluster",8.79952e-05,"B"
"7851","clusterEvalQ",8.79952e-05,"B"
"7852","clusterExport",8.79952e-05,"B"
"7853","clusters",8.79952e-05,"B"
"7854","cmpfun",8.79952e-05,"B"
"7855","coefplot",8.79952e-05,"B"
"7856","CohortRatePlot",8.79952e-05,"B"
"7857","colorFactor",8.79952e-05,"B"
"7858","colorRamp",8.79952e-05,"B"
"7859","colsplit",8.79952e-05,"B"
"7860","compare",8.79952e-05,"B"
"7861","condense",8.79952e-05,"B"
"7862","config",8.79952e-05,"B"
"7863","contrasts.fit",8.79952e-05,"B"
"7864","coord",8.79952e-05,"B"
"7865","coord_polar",8.79952e-05,"B"
"7866","corrplot",8.79952e-05,"B"
"7867","coverage",8.79952e-05,"B"
"7868","cran_downloads",8.79952e-05,"B"
"7869","create_watermark",8.79952e-05,"B"
"7870","createTable",8.79952e-05,"B"
"7871","curl_download",8.79952e-05,"B"
"7872","curve",8.79952e-05,"B"
"7873","cutree",8.79952e-05,"B"
"7874","cv.glmnet",8.79952e-05,"B"
"7875","dashboard_box",8.79952e-05,"B"
"7876","dataset",8.79952e-05,"B"
"7877","datasetInput",8.79952e-05,"B"
"7878","dateOccur",8.79952e-05,"B"
"7879","dateReg",8.79952e-05,"B"
"7880","datetime_to_timestamp",8.79952e-05,"B"
"7881","days",8.79952e-05,"B"
"7882","dbeta",8.79952e-05,"B"
"7883","dbHasCompleted",8.79952e-05,"B"
"7884","dbinom",8.79952e-05,"B"
"7885","dbReadTable",8.79952e-05,"B"
"7886","dchisq",8.79952e-05,"B"
"7887","densityplot",8.79952e-05,"B"
"7888","design",8.79952e-05,"B"
"7889","determinant",8.79952e-05,"B"
"7890","dev.cur",8.79952e-05,"B"
"7891","df",8.79952e-05,"B"
"7892","df.residual",8.79952e-05,"B"
"7893","dgamma",8.79952e-05,"B"
"7894","dir_ls",8.79952e-05,"B"
"7895","disable",8.79952e-05,"B"
"7896","dispersiontest",8.79952e-05,"B"
"7897","display.brewer.pal",8.79952e-05,"B"
"7898","dmap_if",8.79952e-05,"B"
"7899","dMerge",8.79952e-05,"B"
"7900","dmvnorm",8.79952e-05,"B"
"7901","dmy_hms",8.79952e-05,"B"
"7902","DocumentTermMatrix",8.79952e-05,"B"
"7903","dotchart",8.79952e-05,"B"
"7904","dotplot",8.79952e-05,"B"
"7905","download",8.79952e-05,"B"
"7906","drake_plan",8.79952e-05,"B"
"7907","dunif",8.79952e-05,"B"
"7908","dyAnnotation",8.79952e-05,"B"
"7909","dyAxis",8.79952e-05,"B"
"7910","dyn.load",8.79952e-05,"B"
"7911","dyOptions",8.79952e-05,"B"
"7912","dyRangeSelector",8.79952e-05,"B"
"7913","dySeries",8.79952e-05,"B"
"7914","elide",8.79952e-05,"B"
"7915","emoji",8.79952e-05,"B"
"7916","enable",8.79952e-05,"B"
"7917","enc2utf8",8.79952e-05,"B"
"7918","enframe",8.79952e-05,"B"
"7919","estimateDispersions",8.79952e-05,"B"
"7920","estimateGLMCommonDisp",8.79952e-05,"B"
"7921","estimateGLMTagwiseDisp",8.79952e-05,"B"
"7922","estimateGLMTrendedDisp",8.79952e-05,"B"
"7923","expect_false",8.79952e-05,"B"
"7924","expect_true",8.79952e-05,"B"
"7925","ExpressionSet",8.79952e-05,"B"
"7926","extract_osm_objects",8.79952e-05,"B"
"7927","f.read.analyze.volume",8.79952e-05,"B"
"7928","failwith",8.79952e-05,"B"
"7929","fData",8.79952e-05,"B"
"7930","fgets",8.79952e-05,"B"
"7931","Fgets",8.79952e-05,"B"
"7932","file_delete",8.79952e-05,"B"
"7933","filter_",8.79952e-05,"B"
"7934","filterStream",8.79952e-05,"B"
"7935","find",8.79952e-05,"B"
"7936","find.markerpos",8.79952e-05,"B"
"7937","findInterval",8.79952e-05,"B"
"7938","findOverlaps",8.79952e-05,"B"
"7939","fitBounds",8.79952e-05,"B"
"7940","flatten",8.79952e-05,"B"
"7941","flatten_chr",8.79952e-05,"B"
"7942","flowLayout",8.79952e-05,"B"
"7943","force_tz",8.79952e-05,"B"
"7944","foreach",8.79952e-05,"B"
"7945","formals",8.79952e-05,"B"
"7946","formatC",8.79952e-05,"B"
"7947","formatFbDate",8.79952e-05,"B"
"7948","formula",8.79952e-05,"B"
"7949","frma",8.79952e-05,"B"
"7950","full",8.79952e-05,"B"
"7951","func",8.79952e-05,"B"
"7952","g",8.79952e-05,"B"
"7953","gar_api_generator",8.79952e-05,"B"
"7954","gbm",8.79952e-05,"B"
"7955","geneSim",8.79952e-05,"B"
"7956","gentelellaPage",8.79952e-05,"B"
"7957","geoJson",8.79952e-05,"B"
"7958","geojson_read",8.79952e-05,"B"
"7959","geom_density2d",8.79952e-05,"B"
"7960","geom_errorbarh",8.79952e-05,"B"
"7961","geom_hex",8.79952e-05,"B"
"7962","geom_sina",8.79952e-05,"B"
"7963","get.edgelist",8.79952e-05,"B"
"7964","getBM",8.79952e-05,"B"
"7965","getData",8.79952e-05,"B"
"7966","getDescription",8.79952e-05,"B"
"7967","getFollowers",8.79952e-05,"B"
"7968","getForm",8.79952e-05,"B"
"7969","getLikes",8.79952e-05,"B"
"7970","getLimitRate",8.79952e-05,"B"
"7971","getLimitTimeline",8.79952e-05,"B"
"7972","getModelInfo",8.79952e-05,"B"
